Time and date,GPU temperature,GPU usage,Memory usage,Power percent,RAM usage,Framerate
16-01-2025 14:39:04,54,0,2500.465,39,16417,N/A
16-01-2025 14:39:05,54,0,2585.313,39,16460,N/A
16-01-2025 14:39:06,54,29,2521.188,44,16473,N/A
16-01-2025 14:39:07,55,32,2521.188,44,16472,N/A
16-01-2025 14:39:08,55,28,2521.188,44,16478,N/A
16-01-2025 14:39:09,54,1,2521.188,39,16494,N/A
16-01-2025 14:39:10,54,1,2521.188,39,16510,N/A
16-01-2025 14:39:11,54,13,2673.582,39,16813,N/A
16-01-2025 14:39:12,54,25,3674.781,39,17091,N/A
16-01-2025 14:39:13,56,27,3852.922,45,17139,N/A
16-01-2025 14:39:14,56,30,3904.242,46,17149,N/A
16-01-2025 14:39:15,56,25,3836.383,50,17149,N/A
16-01-2025 14:39:16,57,29,3828.625,45,17150,N/A
16-01-2025 14:39:17,56,28,3790.258,49,17135,61.4
16-01-2025 14:39:18,56,25,3790.703,45,17135,58.7
16-01-2025 14:39:19,56,25,3770.969,45,17120,58.1
16-01-2025 14:39:20,56,17,3770.969,39,17128,55.6
16-01-2025 14:39:21,56,25,3775.563,45,17128,52.1
16-01-2025 14:39:22,56,15,3776.516,39,17142,49.2
16-01-2025 14:39:23,56,20,3785.449,45,17151,48.4
16-01-2025 14:39:24,56,26,3788.074,47,17192,58.6
16-01-2025 14:39:25,57,25,3776.016,49,17204,56.2
16-01-2025 14:39:26,56,25,3776.016,45,17203,58.3
16-01-2025 14:39:27,57,28,3774.5,48,17206,58.4
16-01-2025 14:39:28,57,28,3774.5,45,17203,58.5
16-01-2025 14:39:29,57,26,3774.5,45,17176,59.1
16-01-2025 14:39:30,57,24,3774.5,45,17166,58.7
16-01-2025 14:39:31,57,26,3773.938,48,17148,58.4
16-01-2025 14:39:32,58,23,3779.313,45,17151,57.9
16-01-2025 14:39:33,57,22,3841.141,50,17151,55.1
16-01-2025 14:39:34,58,26,3836.266,47,17150,58.1
16-01-2025 14:39:35,57,26,3822.641,45,17215,57.4
16-01-2025 14:39:36,57,27,3863.48,46,17336,58.3
16-01-2025 14:39:37,57,27,3975.039,46,17391,40.7
16-01-2025 14:39:38,58,26,4034.16,45,17418,57.8
16-01-2025 14:39:39,56,2,4064.309,39,17258,31.5
16-01-2025 14:39:40,57,25,4067.121,45,17239,31.5
16-01-2025 14:39:41,58,26,4067.121,45,17227,58.7
16-01-2025 14:39:42,57,28,4065.621,45,17240,52.2
16-01-2025 14:39:43,57,26,4065.621,46,17238,58.8
16-01-2025 14:39:44,58,24,4067.137,40,17236,57.1
16-01-2025 14:39:45,58,26,4058.137,45,17229,58.8
16-01-2025 14:39:46,58,26,4188.012,46,17273,52.2
16-01-2025 14:39:47,58,27,4138.762,49,17272,58.6
16-01-2025 14:39:48,57,22,4079.129,41,17273,49.3
16-01-2025 14:39:49,57,18,4053.254,41,17271,58.5
16-01-2025 14:39:50,57,14,4113.254,44,17269,53.1
16-01-2025 14:39:51,58,26,4096.934,45,17264,58.4
16-01-2025 14:39:52,58,29,3939.219,50,17326,57.7
16-01-2025 14:39:53,58,25,3955.469,50,17341,58.7
16-01-2025 14:39:54,58,24,3969.156,45,17308,57.8
16-01-2025 14:39:55,58,27,4021.969,46,17389,58.9
16-01-2025 14:39:56,58,26,4022.395,46,17390,58.4
16-01-2025 14:39:57,59,29,4053.777,46,17374,58
16-01-2025 14:39:58,58,28,4107.871,50,17416,50.9
16-01-2025 14:39:59,58,28,4127.871,46,17454,59
16-01-2025 14:40:00,58,26,4184.605,45,17486,58.3
16-01-2025 14:40:01,58,26,4184.605,45,17485,58.5
16-01-2025 14:40:02,59,32,4316.316,46,17508,56.4
16-01-2025 14:40:03,58,29,4368.012,45,17491,59.1
16-01-2025 14:40:04,57,7,4294.488,39,17269,26.8
16-01-2025 14:40:05,58,30,4193.195,45,17285,29.6
16-01-2025 14:40:06,58,28,4127.133,45,17301,58.8
16-01-2025 14:40:07,58,24,4157.43,45,17298,58.4
16-01-2025 14:40:08,58,24,4157.43,45,17340,59
16-01-2025 14:40:09,59,25,4151.117,47,17302,59.1
16-01-2025 14:40:10,58,26,4151.117,49,17062,58.1
16-01-2025 14:40:11,58,9,4093.793,44,16772,40.5
16-01-2025 14:40:12,58,24,4107.785,45,16502,57.1
16-01-2025 14:40:13,59,26,4144.723,45,16346,55.8
16-01-2025 14:40:14,59,26,4144.723,47,16326,58.5
16-01-2025 14:40:15,59,31,4267.535,47,16327,56.1
16-01-2025 14:40:16,59,27,4193.793,46,16325,58.1
16-01-2025 14:40:17,59,24,4193.793,45,16325,58.3
16-01-2025 14:40:18,59,26,4152.043,49,16320,58.5
16-01-2025 14:40:19,59,26,4152.793,49,16311,57.9
16-01-2025 14:40:20,59,27,4201.559,44,16314,57.7
16-01-2025 14:40:21,59,26,4201.559,48,16314,58.4
16-01-2025 14:40:22,59,26,4207.074,50,16312,58.9
16-01-2025 14:40:23,59,27,4207.293,44,16313,58.4
16-01-2025 14:40:24,59,26,4209.715,44,16452,57.8
16-01-2025 14:40:25,59,29,4186.043,51,16640,58.7
16-01-2025 14:40:26,59,26,4209.105,49,16610,58.9
16-01-2025 14:40:27,59,29,4264.918,50,16590,56.9
16-01-2025 14:40:28,59,29,4264.918,45,16583,58.5
16-01-2025 14:40:29,59,27,4220.23,45,16582,58.9
16-01-2025 14:40:30,59,25,4238.543,45,16587,58.3
16-01-2025 14:40:31,60,27,4281.293,46,16662,53.2
16-01-2025 14:40:32,59,26,4302.445,45,16689,57.7
16-01-2025 14:40:33,59,27,4316.773,46,16692,58.6
16-01-2025 14:40:34,60,27,4329.398,44,16707,56.9
16-01-2025 14:40:35,59,28,4360.305,44,16700,54.5
16-01-2025 14:40:36,59,26,4360.305,46,16744,58.6
16-01-2025 14:40:37,60,25,4357.43,46,16744,56.9
16-01-2025 14:40:38,60,27,4250.355,45,16508,55.7
16-01-2025 14:40:39,59,27,4247.668,47,16501,58.4
16-01-2025 14:40:40,60,25,4301.246,46,16510,57.8
16-01-2025 14:40:41,59,26,4301.246,45,16509,58.6
16-01-2025 14:40:42,60,26,4301.246,48,16506,58.4
16-01-2025 14:40:43,60,26,4225.371,45,16611,57.8
16-01-2025 14:40:44,60,30,4295.684,46,16707,58.8
16-01-2025 14:40:45,59,9,4098.762,39,16537,48.3
16-01-2025 14:40:46,59,25,4111.879,45,16567,45
16-01-2025 14:40:47,60,26,4111.879,48,16565,58.5
16-01-2025 14:40:48,59,26,4113.129,44,16550,57.7
